"","Var1","Freq"
"1","1 April 2015",13
"2","1 August 2014",155
"3","1 August 2015",37
"4","1 December 2014",27
"5","1 February 2015",34
"6","1 January 2015",13
"7","1 July 2014",19
"8","1 July 2015",35
"9","1 June 2015",40
"10","1 March 2015",23
"11","1 May 2015",42
"12","1 November 2014",32
"13","1 November 2015",99
"14","1 October 2014",11
"15","1 October 2015",13
"16","1 September 2014",27
"17","1 September 2015",71
"18","10 April 2015",33
"19","10 August 2014",37
"20","10 August 2015",47
"21","10 December 2014",19
"22","10 February 2015",39
"23","10 January 2015",20
"24","10 July 2015",26
"25","10 June 2015",25
"26","10 March 2015",29
"27","10 May 2015",49
"28","10 November 2014",13
"29","10 November 2015",35
"30","10 October 2014",24
"31","10 October 2015",32
"32","10 September 2014",12
"33","10 September 2015",12
"34","11 April 2015",19
"35","11 August 2014",85
"36","11 August 2015",3
"37","11 December 2014",18
"38","11 February 2015",21
"39","11 January 2015",1
"40","11 July 2014",107
"41","11 July 2015",34
"42","11 June 2015",19
"43","11 March 2015",17
"44","11 May 2015",48
"45","11 November 2014",33
"46","11 November 2015",14
"47","11 October 2014",31
"48","11 October 2015",12
"49","11 September 2014",33
"50","11 September 2015",42
"51","12 April 2015",17
"52","12 August 2014",21
"53","12 August 2015",67
"54","12 December 2014",18
"55","12 February 2015",16
"56","12 January 2015",1
"57","12 July 2014",103
"58","12 July 2015",84
"59","12 June 2015",40
"60","12 March 2015",31
"61","12 May 2015",42
"62","12 November 2014",19
"63","12 November 2015",20
"64","12 October 2014",30
"65","12 October 2015",13
"66","12 September 2014",33
"67","12 September 2015",49
"68","13 April 2015",28
"69","13 August 2014",9
"70","13 August 2015",45
"71","13 December 2014",36
"72","13 February 2015",21
"73","13 January 2015",2
"74","13 July 2015",96
"75","13 June 2015",49
"76","13 March 2015",19
"77","13 May 2015",23
"78","13 November 2014",13
"79","13 November 2015",45
"80","13 October 2014",24
"81","13 October 2015",72
"82","13 September 2014",33
"83","13 September 2015",55
"84","14 April 2015",73
"85","14 August 2014",31
"86","14 August 2015",1
"87","14 December 2014",31
"88","14 February 2015",39
"89","14 January 2015",94
"90","14 July 2014",39
"91","14 July 2015",32
"92","14 June 2015",36
"93","14 March 2015",1
"94","14 May 2015",9
"95","14 November 2014",42
"96","14 November 2015",72
"97","14 October 2014",15
"98","14 October 2015",21
"99","14 September 2014",34
"100","14 September 2015",42
"101","15 April 2015",23
"102","15 August 2014",32
"103","15 August 2015",50
"104","15 December 2014",27
"105","15 February 2015",39
"106","15 January 2015",39
"107","15 July 2014",27
"108","15 July 2015",20
"109","15 June 2015",51
"110","15 March 2015",62
"111","15 May 2015",27
"112","15 November 2014",42
"113","15 November 2015",54
"114","15 October 2014",12
"115","15 October 2015",16
"116","15 September 2014",38
"117","15 September 2015",43
"118","16 April 2015",18
"119","16 August 2014",191
"120","16 August 2015",29
"121","16 December 2014",29
"122","16 February 2015",36
"123","16 January 2015",20
"124","16 July 2014",11
"125","16 July 2015",10
"126","16 June 2015",40
"127","16 March 2015",10
"128","16 May 2015",33
"129","16 November 2014",47
"130","16 November 2015",61
"131","16 October 2014",30
"132","16 October 2015",48
"133","16 September 2014",20
"134","16 September 2015",28
"135","17 April 2015",32
"136","17 August 2014",51
"137","17 August 2015",38
"138","17 December 2014",20
"139","17 February 2015",35
"140","17 January 2015",30
"141","17 July 2014",20
"142","17 July 2015",41
"143","17 June 2015",27
"144","17 March 2015",5
"145","17 May 2015",25
