"type","number","percent","time"
"AC.KE","803","1.37","1465790161.50214"
"GO.KE","366","0.63","1465790161.50214"
"SC.KE","572","0.98","1465790161.50214"
"CO.KE","54253","92.81","1465790161.50214"
"INFO.KE","125","0.21","1465790161.50214"
"ME.KE","331","0.57","1465790161.50214"
"MOBI.KE","45","0.08","1465790161.50214"
"NE.KE","180","0.31","1465790161.50214"
"OR.KE","1779","3.04","1465790161.50214"
"AC.KE","803","1.37","1465794006.04468"
"GO.KE","366","0.63","1465794006.04468"
"SC.KE","572","0.98","1465794006.04468"
"CO.KE","54253","92.81","1465794006.04468"
"INFO.KE","125","0.21","1465794006.04468"
"ME.KE","331","0.57","1465794006.04468"
"MOBI.KE","45","0.08","1465794006.04468"
"NE.KE","180","0.31","1465794006.04468"
"OR.KE","1779","3.04","1465794006.04468"
"AC.KE","803","1.37","1465801206.30717"
"GO.KE","366","0.63","1465801206.30717"
"SC.KE","572","0.98","1465801206.30717"
"CO.KE","54261","92.81","1465801206.30717"
"INFO.KE","125","0.21","1465801206.30717"
"ME.KE","331","0.57","1465801206.30717"
"MOBI.KE","45","0.08","1465801206.30717"
"NE.KE","180","0.31","1465801206.30717"
"OR.KE","1781","3.05","1465801206.30717"
"AC.KE","803","1.37","1465808406.46087"
"GO.KE","367","0.63","1465808406.46087"
"SC.KE","573","0.98","1465808406.46087"
"CO.KE","54268","92.81","1465808406.46087"
"INFO.KE","125","0.21","1465808406.46087"
"ME.KE","331","0.57","1465808406.46087"
"MOBI.KE","45","0.08","1465808406.46087"
"NE.KE","180","0.31","1465808406.46087"
"OR.KE","1781","3.05","1465808406.46087"
"AC.KE","803","1.37","1465815606.08375"
"GO.KE","367","0.63","1465815606.08375"
"SC.KE","576","0.98","1465815606.08375"
"CO.KE","54278","92.80","1465815606.08375"
"INFO.KE","125","0.21","1465815606.08375"
"ME.KE","331","0.57","1465815606.08375"
"MOBI.KE","45","0.08","1465815606.08375"
"NE.KE","180","0.31","1465815606.08375"
"OR.KE","1783","3.05","1465815606.08375"
"AC.KE","803","1.37","1465822805.99485"
"GO.KE","367","0.63","1465822805.99485"
"SC.KE","577","0.99","1465822805.99485"
"CO.KE","54294","92.80","1465822805.99485"
"INFO.KE","125","0.21","1465822805.99485"
"ME.KE","331","0.57","1465822805.99485"
"MOBI.KE","45","0.08","1465822805.99485"
"NE.KE","180","0.31","1465822805.99485"
"OR.KE","1783","3.05","1465822805.99485"
"AC.KE","804","1.37","1465830006.34867"
"GO.KE","367","0.63","1465830006.34867"
"SC.KE","577","0.99","1465830006.34867"
"CO.KE","54316","92.80","1465830006.34867"
"INFO.KE","125","0.21","1465830006.34867"
"ME.KE","331","0.57","1465830006.34867"
"MOBI.KE","45","0.08","1465830006.34867"
"NE.KE","180","0.31","1465830006.34867"
"OR.KE","1783","3.05","1465830006.34867"
"AC.KE","804","1.37","1465837207.11156"
"GO.KE","367","0.63","1465837207.11156"
"SC.KE","577","0.99","1465837207.11156"
"CO.KE","54325","92.80","1465837207.11156"
"INFO.KE","125","0.21","1465837207.11156"
"ME.KE","331","0.57","1465837207.11156"
"MOBI.KE","45","0.08","1465837207.11156"
"NE.KE","180","0.31","1465837207.11156"
"OR.KE","1784","3.05","1465837207.11156"
"AC.KE","804","1.37","1465844405.79811"
"GO.KE","367","0.63","1465844405.79811"
"SC.KE","577","0.99","1465844405.79811"
"CO.KE","54329","92.80","1465844405.79811"
"INFO.KE","125","0.21","1465844405.79811"
"ME.KE","331","0.57","1465844405.79811"
"MOBI.KE","45","0.08","1465844405.79811"
"NE.KE","180","0.31","1465844405.79811"
"OR.KE","1784","3.05","1465844405.79811"
"AC.KE","804","1.37","1465851605.99292"
"GO.KE","367","0.63","1465851605.99292"
"SC.KE","577","0.99","1465851605.99292"
"CO.KE","54331","92.80","1465851605.99292"
"INFO.KE","125","0.21","1465851605.99292"
"ME.KE","331","0.57","1465851605.99292"
"MOBI.KE","45","0.08","1465851605.99292"
"NE.KE","180","0.31","1465851605.99292"
"OR.KE","1784","3.05","1465851605.99292"
"AC.KE","804","1.37","1465858806.83976"
"GO.KE","367","0.63","1465858806.83976"
"SC.KE","577","0.99","1465858806.83976"
"CO.KE","54332","92.80","1465858806.83976"
"INFO.KE","125","0.21","1465858806.83976"
"ME.KE","331","0.57","1465858806.83976"
"MOBI.KE","45","0.08","1465858806.83976"
"NE.KE","180","0.31","1465858806.83976"
"OR.KE","1784","3.05","1465858806.83976"
"AC.KE","804","1.37","1465866006.28033"
"GO.KE","367","0.63","1465866006.28033"
"SC.KE","577","0.99","1465866006.28033"
"CO.KE","54332","92.80","1465866006.28033"
"INFO.KE","125","0.21","1465866006.28033"
"ME.KE","331","0.57","1465866006.28033"
"MOBI.KE","45","0.08","1465866006.28033"
"NE.KE","180","0.31","1465866006.28033"
"OR.KE","1784","3.05","1465866006.28033"
"AC.KE","803","1.37","1465873205.66569"
"GO.KE","367","0.63","1465873205.66569"
"SC.KE","577","0.99","1465873205.66569"
"CO.KE","54263","92.80","1465873205.66569"
"INFO.KE","125","0.21","1465873205.66569"
"ME.KE","331","0.57","1465873205.66569"
"MOBI.KE","45","0.08","1465873205.66569"
"NE.KE","176","0.30","1465873205.66569"
"OR.KE","1784","3.05","1465873205.66569"
"AC.KE","803","1.37","1465880405.55901"
"GO.KE","367","0.63","1465880405.55901"
"SC.KE","577","0.99","1465880405.55901"
"CO.KE","54263","92.80","1465880405.55901"
"INFO.KE","125","0.21","1465880405.55901"
"ME.KE","331","0.57","1465880405.55901"
"MOBI.KE","45","0.08","1465880405.55901"
