domain,date_deleted,base_name,type,,
    knet.co.ke,19 November 2015,    knet,co,,
    eaafj.or.ke,19 November 2015,    eaafj,or,,
    sageproducts.co.ke,19 November 2015,    sageproducts,co,,
    mugtronics.co.ke,19 November 2015,    mugtronics,co,,
    jewelery.co.ke,19 November 2015,    jewelery,co,,
    pronto.co.ke,19 November 2015,    pronto,co,,
    eaafj.co.ke,19 November 2015,    eaafj,co,,
    haai.co.ke,19 November 2015,    haai,co,,
    matrix.co.ke,19 November 2015,    matrix,co,,
    capitalcitycomputers.co.ke,19 November 2015,    capitalcitycomputers,co,,
    mpesapro.co.ke,19 November 2015,    mpesapro,co,,
    rcdo.or.ke ,19 November 2015,    rcdo,or,,
    joineryanddesign.co.ke,18 November 2015,    joineryanddesign,co,,
    poetry.co.ke,18 November 2015,    poetry,co,,
    ominaotsieno.co.ke,18 November 2015,    ominaotsieno,co,,
    webtech.co.ke,18 November 2015,    webtech,co,,
    workxtra.co.ke,18 November 2015,    workxtra,co,,
    complianceinstitute.co.ke,18 November 2015,    complianceinstitute,co,,
    newsstand.co.ke,18 November 2015,    newsstand,co,,
    chefslab.co.ke,18 November 2015,    chefslab,co,,
    thebignation.co.ke,18 November 2015,    thebignation,co,,
    byebye.co.ke,18 November 2015,    byebye,co,,
    hobbies.co.ke,18 November 2015,    hobbies,co,,
    urbanyouth.co.ke,18 November 2015,    urbanyouth,co,,
    councilofgovernors.go.ke,18 November 2015,    councilofgovernors,go,,
    hermytech.co.ke,18 November 2015,    hermytech,co,,
    experts.co.ke,18 November 2015,    experts,co,,
    whitegoldholdings.co.ke,18 November 2015,    whitegoldholdings,co,,
    solarus.co.ke,18 November 2015,    solarus,co,,
    muziki.co.ke,18 November 2015,    muziki,co,,
    queenspark.co.ke,18 November 2015,    queenspark,co,,
    supplies.co.ke,18 November 2015,    supplies,co,,
    urbanpromos.co.ke,18 November 2015,    urbanpromos,co,,
    expatriate.co.ke,18 November 2015,    expatriate,co,,
    thetyrecentre.co.ke,18 November 2015,    thetyrecentre,co,,
    sisseyent.co.ke,18 November 2015,    sisseyent,co,,
    philcom.co.ke ,18 November 2015,    philcom,co,,
    getfarming.co.ke,17 November 2015,    getfarming,co,,
    emkenelektra.co.ke,17 November 2015,    emkenelektra,co,,
    mashallahautos.co.ke,17 November 2015,    mashallahautos,co,,
    gori.co.ke,17 November 2015,    gori,co,,
    kdf.co.ke,17 November 2015,    kdf,co,,
    workhealthconsult.co.ke,17 November 2015,    workhealthconsult,co,,
    angelakingori.me.ke,17 November 2015,    angelakingori,me,,
    solval.co.ke,17 November 2015,    solval,co,,
    jonipest.co.ke,17 November 2015,    jonipest,co,,
    malindi.me.ke,17 November 2015,    malindi,me,,
    victoryfreighters.co.ke,17 November 2015,    victoryfreighters,co,,
    getjobs.co.ke,17 November 2015,    getjobs,co,,
    afrikanosadesigns.co.ke,17 November 2015,    afrikanosadesigns,co,,
    kamika.co.ke,17 November 2015,    kamika,co,,
    tamutamudishes.co.ke,17 November 2015,    tamutamudishes,co,,
    flow-masters.co.ke,17 November 2015,    flow-masters,co,,
    saveafrique.or.ke,17 November 2015,    saveafrique,or,,
    contentmarketinginstitute.co.ke,17 November 2015,    contentmarketinginstitute,co,,
    saveourheritage.co.ke,17 November 2015,    saveourheritage,co,,
    jirrscomm.co.ke,17 November 2015,    jirrscomm,co,,
    autosolv.co.ke,17 November 2015,    autosolv,co,,
    kisiireal.co.ke,17 November 2015,    kisiireal,co,,
    marytraders.co.ke,17 November 2015,    marytraders,co,,
    nyakongopharmacy.co.ke,17 November 2015,    nyakongopharmacy,co,,
    saveafrique.co.ke,17 November 2015,    saveafrique,co,,
    pivotvaluers.co.ke,17 November 2015,    pivotvaluers,co,,
    transtechltd.co.ke,17 November 2015,    transtechltd,co,,
    waylead.co.ke,17 November 2015,    waylead,co,,
    sefran.co.ke,17 November 2015,    sefran,co,,
    javial.co.ke,17 November 2015,    javial,co,,
    pearlmatrix.co.ke,17 November 2015,    pearlmatrix,co,,
    tunzahousing.co.ke,17 November 2015,    tunzahousing,co,,
    oer4schools.co.ke,17 November 2015,    oer4schools,co,,
    getmedia.co.ke,17 November 2015,    getmedia,co,,
    carolyn.co.ke,17 November 2015,    carolyn,co,,
    romtechsolutions.co.ke,17 November 2015,    romtechsolutions,co,,
    matiurs.co.ke,17 November 2015,    matiurs,co,,
    urbanstudio.co.ke,17 November 2015,    urbanstudio,co,,
    amksmarts.co.ke,17 November 2015,    amksmarts,co,,
    addskills.co.ke,17 November 2015,    addskills,co,,
    kikazi.co.ke,17 November 2015,    kikazi,co,,
    trendstoneholdings.co.ke,17 November 2015,    trendstoneholdings,co,,
    hozon.co.ke,17 November 2015,    hozon,co,,
    troughcomms.co.ke,17 November 2015,    troughcomms,co,,
    zumsintkltd.co.ke,17 November 2015,    zumsintkltd,co,,
    zakhem.co.ke,17 November 2015,    zakhem,co,,
    camsenlimited.co.ke,17 November 2015,    camsenlimited,co,,
    kasram.co.ke,17 November 2015,    kasram,co,,
    richonet.co.ke,17 November 2015,    richonet,co,,
    upwayshotel.co.ke,17 November 2015,    upwayshotel,co,,
    kenyaniyetu.me.ke,17 November 2015,    kenyaniyetu,me,,
    thikaprimoseschool.sc.ke ,17 November 2015,    thikaprimoseschool,sc,,
    joeaketchfoundation.co.ke,16 November 2015,    joeaketchfoundation,co,,
    carwash.co.ke,16 November 2015,    carwash,co,,
    carewel.co.ke,16 November 2015,    carewel,co,,
    hogol.co.ke,16 November 2015,    hogol,co,,
    aero-link.co.ke,16 November 2015,    aero-link,co,,
    timelesslove.co.ke,16 November 2015,    timelesslove,co,,
    torque-it.co.ke,16 November 2015,    torque-it,co,,
    stewa.co.ke,16 November 2015,    stewa,co,,
    doppler.co.ke,16 November 2015,    doppler,co,,
    jointcommercial.co.ke,16 November 2015,    jointcommercial,co,,
    rewagoenterprises.co.ke,16 November 2015,    rewagoenterprises,co,,
    easy.co.ke,16 November 2015,    easy,co,,
    kisiicollegeofaccountancy.ac.ke,16 November 2015,    kisiicollegeofaccountancy,ac,,
    amaso.co.ke,16 November 2015,    amaso,co,,
    agiledatasystems.co.ke,16 November 2015,    agiledatasystems,co,,
    danmainv.co.ke,16 November 2015,    danmainv,co,,
    melroselands.co.ke,16 November 2015,    melroselands,co,,
    mweamedicalcentre.co.ke,16 November 2015,    mweamedicalcentre,co,,
    verify-id.co.ke,16 November 2015,    verify-id,co,,
    greenerfortunescapital.co.ke,16 November 2015,    greenerfortunescapital,co,,
    psvsolutions.co.ke,16 November 2015,    psvsolutions,co,,
    leshoc.co.ke,16 November 2015,    leshoc,co,,
    phillionlimited.co.ke,16 November 2015,    phillionlimited,co,,
    bimatele.co.ke,16 November 2015,    bimatele,co,,
    maliba.co.ke,16 November 2015,    maliba,co,,
    humanrightsagenda.or.ke,16 November 2015,    humanrightsagenda,or,,
    blessedtourstravel.co.ke,16 November 2015,    blessedtourstravel,co,,
    pamapertservices.co.ke,16 November 2015,    pamapertservices,co,,
    hospital.co.ke,16 November 2015,    hospital,co,,
    jatel.co.ke,16 November 2015,    jatel,co,,
    creativeminds.co.ke,16 November 2015,    creativeminds,co,,
    kopa.co.ke,16 November 2015,    kopa,co,,
    cheapflight.co.ke,16 November 2015,    cheapflight,co,,
    rhillajumam.co.ke,16 November 2015,    rhillajumam,co,,
    haronbett.co.ke,16 November 2015,    haronbett,co,,
    hewas.co.ke,16 November 2015,    hewas,co,,
    graduateslounge.co.ke,16 November 2015,    graduateslounge,co,,
    kasaranicateringcollege.co.ke,16 November 2015,    kasaranicateringcollege,co,,
    jayshiv.co.ke,16 November 2015,    jayshiv,co,,
    eleflexcontrolsltd.co.ke,16 November 2015,    eleflexcontrolsltd,co,,
    yetucatalogue.co.ke,16 November 2015,    yetucatalogue,co,,
    gilgilpepsi.co.ke,16 November 2015,    gilgilpepsi,co,,
    smartbusiness.co.ke,16 November 2015,    smartbusiness,co,,
    alphamedia.co.ke,16 November 2015,    alphamedia,co,,
    samsansolutions.co.ke,16 November 2015,    samsansolutions,co,,
    josetyres.co.ke,16 November 2015,    josetyres,co,,
    parauwa.co.ke,16 November 2015,    parauwa,co,,
    massinc.co.ke,16 November 2015,    massinc,co,,
    technosmart.co.ke,16 November 2015,    technosmart,co,,
    eco-wastebinsservices.co.ke,16 November 2015,    eco-wastebinsservices,co,,
    penak.co.ke,16 November 2015,    penak,co,,
    craftcoatings.co.ke,16 November 2015,    craftcoatings,co,,
    craftscreations-africa.co.ke,16 November 2015,    craftscreations-africa,co,,
    fallorianenterprises.co.ke,16 November 2015,    fallorianenterprises,co,,
    chebirbelekfarmersshop.co.ke,16 November 2015,    chebirbelekfarmersshop,co,,
    buoyantsafaris.co.ke,16 November 2015,    buoyantsafaris,co,,
    bryantafrica.co.ke,16 November 2015,    bryantafrica,co,,
    energiekonsult.co.ke,16 November 2015,    energiekonsult,co,,
    motorwild.co.ke,16 November 2015,    motorwild,co,,
    georgecom.co.ke,16 November 2015,    georgecom,co,,
    storiesinmylife.co.ke ,16 November 2015,    storiesinmylife,co,,
    remy.co.ke,15 November 2015,    remy,co,,
    cityguardslimited.co.ke,15 November 2015,    cityguardslimited,co,,
    emomentum.co.ke,15 November 2015,    emomentum,co,,
    kibarua.co.ke,15 November 2015,    kibarua,co,,
    katronicsmaintenance.co.ke,15 November 2015,    katronicsmaintenance,co,,
    ben.co.ke,15 November 2015,    ben,co,,
    justadial.co.ke,15 November 2015,    justadial,co,,
    afbmanunited.co.ke,15 November 2015,    afbmanunited,co,,
    exposedlitho.co.ke,15 November 2015,    exposedlitho,co,,
    wine4u.co.ke,15 November 2015,    wine4u,co,,
    davisultimate.co.ke,15 November 2015,    davisultimate,co,,
    elgonviewhospital.co.ke,15 November 2015,    elgonviewhospital,co,,
    mplau.co.ke,15 November 2015,    mplau,co,,
    guestofaguest.co.ke,15 November 2015,    guestofaguest,co,,
    hashgroup.co.ke,15 November 2015,    hashgroup,co,,
    marrukinv.co.ke,15 November 2015,    marrukinv,co,,
    merchants.co.ke,15 November 2015,    merchants,co,,
    oakbridgekenya.co.ke,15 November 2015,    oakbridgekenya,co,,
    gemslabsupplies.co.ke,15 November 2015,    gemslabsupplies,co,,
    michaelinunda.co.ke,15 November 2015,    michaelinunda,co,,
    wangambleautospares.co.ke,15 November 2015,    wangambleautospares,co,,
    sugarabritationtribunal.or.ke,15 November 2015,    sugarabritationtribunal,or,,
    aldast.co.ke,15 November 2015,    aldast,co,,
    riverhouse.co.ke,15 November 2015,    riverhouse,co,,
    compassleadership.co.ke,15 November 2015,    compassleadership,co,,
    samje.co.ke,15 November 2015,    samje,co,,
    mainstech.co.ke,15 November 2015,    mainstech,co,,
    nyotanjema.co.ke,15 November 2015,    nyotanjema,co,,
    filoinsurance.co.ke,15 November 2015,    filoinsurance,co,,
    benchmarkmedia.co.ke,15 November 2015,    benchmarkmedia,co,,
    china.co.ke,15 November 2015,    china,co,,
    reelafrica.co.ke,15 November 2015,    reelafrica,co,,
    h20.co.ke,15 November 2015,    h20,co,,
    mohouse.co.ke,15 November 2015,    mohouse,co,,
    maxolinventures.co.ke,15 November 2015,    maxolinventures,co,,
    joolemsconsult.co.ke,15 November 2015,    joolemsconsult,co,,
    nissan.me.ke,15 November 2015,    nissan,me,,
    afbchelsea.co.ke,15 November 2015,    afbchelsea,co,,
    handly.co.ke,15 November 2015,    handly,co,,
    itsoko.co.ke,15 November 2015,    itsoko,co,,
    hostpawa.co.ke,15 November 2015,    hostpawa,co,,
    wearbangz.co.ke,15 November 2015,    wearbangz,co,,
    maagalenterprises.co.ke,15 November 2015,    maagalenterprises,co,,
    atmlocator.co.ke,15 November 2015,    atmlocator,co,,
    designcodeinteriors.co.ke,15 November 2015,    designcodeinteriors,co,,
    firstconsulting.co.ke,15 November 2015,    firstconsulting,co,,
    propelenergy.co.ke,15 November 2015,    propelenergy,co,,
    bencom.co.ke,15 November 2015,    bencom,co,,
    smarttechs.co.ke,15 November 2015,    smarttechs,co,,
    punchline.co.ke,15 November 2015,    punchline,co,,
    psychmedia.co.ke,15 November 2015,    psychmedia,co,,
    ombasahandicraft.co.ke,15 November 2015,    ombasahandicraft,co,,
    alhajjjuma.co.ke,15 November 2015,    alhajjjuma,co,,
    erectiledysfunction.co.ke ,15 November 2015,    erectiledysfunction,co,,
    quixom.co.ke,14 November 2015,    quixom,co,,
    mall.co.ke,14 November 2015,    mall,co,,
    designer.co.ke,14 November 2015,    designer,co,,
    lyric.co.ke,14 November 2015,    lyric,co,,
    toy.co.ke,14 November 2015,    toy,co,,
    chings.co.ke,14 November 2015,    chings,co,,
    kamusyilogistics.co.ke,14 November 2015,    kamusyilogistics,co,,
    zinckenterprises.co.ke,14 November 2015,    zinckenterprises,co,,
    masala.co.ke,14 November 2015,    masala,co,,
    libertyglobal.co.ke,14 November 2015,    libertyglobal,co,,
    infoage2.co.ke,14 November 2015,    infoage2,co,,
    internship.co.ke,14 November 2015,    internship,co,,
    milli.co.ke,14 November 2015,    milli,co,,
    metroengeneering.co.ke,14 November 2015,    metroengeneering,co,,
    twince.co.ke,14 November 2015,    twince,co,,
    5elements.co.ke,14 November 2015,    5elements,co,,
    recipes.co.ke,14 November 2015,    recipes,co,,
    uranusoptical.co.ke,14 November 2015,    uranusoptical,co,,
    embassy.co.ke,14 November 2015,    embassy,co,,
    scholarships.co.ke,14 November 2015,    scholarships,co,,
    mairemsolutions.co.ke,14 November 2015,    mairemsolutions,co,,
    kibaruanow.co.ke,14 November 2015,    kibaruanow,co,,
