"details","numbers","time"
"Total domains","58454","1465790161.52359"
"Total domains registered within 24 hours","23","1465790161.52359"
"Total domains registered within 30 Days","2186","1465790161.52359"
"Total domains renewed within 24 Hours","25","1465790161.52359"
"Total domains renewed within 30 Days","2460","1465790161.52359"
"Total domains","58454","1465794006.04942"
"Total domains registered within 24 hours","23","1465794006.04942"
"Total domains registered within 30 Days","2185","1465794006.04942"
"Total domains renewed within 24 Hours","30","1465794006.04942"
"Total domains renewed within 30 Days","2465","1465794006.04942"
"Total domains","58464","1465801206.31197"
"Total domains registered within 24 hours","33","1465801206.31197"
"Total domains registered within 30 Days","2193","1465801206.31197"
"Total domains renewed within 24 Hours","60","1465801206.31197"
"Total domains renewed within 30 Days","2488","1465801206.31197"
"Total domains","58473","1465808406.46585"
"Total domains registered within 24 hours","40","1465808406.46585"
"Total domains registered within 30 Days","2183","1465808406.46585"
"Total domains renewed within 24 Hours","82","1465808406.46585"
"Total domains renewed within 30 Days","2505","1465808406.46585"
"Total domains","58488","1465815606.08811"
"Total domains registered within 24 hours","55","1465815606.08811"
"Total domains registered within 30 Days","2187","1465815606.08811"
"Total domains renewed within 24 Hours","100","1465815606.08811"
"Total domains renewed within 30 Days","2520","1465815606.08811"
"Total domains","58505","1465822805.99976"
"Total domains registered within 24 hours","69","1465822805.99976"
"Total domains registered within 30 Days","2202","1465822805.99976"
"Total domains renewed within 24 Hours","114","1465822805.99976"
"Total domains renewed within 30 Days","2534","1465822805.99976"
"Total domains","58528","1465830006.35283"
"Total domains registered within 24 hours","88","1465830006.35283"
"Total domains registered within 30 Days","2222","1465830006.35283"
"Total domains renewed within 24 Hours","133","1465830006.35283"
"Total domains renewed within 30 Days","2556","1465830006.35283"
"Total domains","58538","1465837207.11641"
"Total domains registered within 24 hours","94","1465837207.11641"
"Total domains registered within 30 Days","2227","1465837207.11641"
"Total domains renewed within 24 Hours","135","1465837207.11641"
"Total domains renewed within 30 Days","2558","1465837207.11641"
"Total domains","58542","1465844405.8023"
"Total domains registered within 24 hours","93","1465844405.8023"
"Total domains registered within 30 Days","2226","1465844405.8023"
"Total domains renewed within 24 Hours","141","1465844405.8023"
"Total domains renewed within 30 Days","2565","1465844405.8023"
"Total domains","58544","1465851605.99798"
"Total domains registered within 24 hours","94","1465851605.99798"
"Total domains registered within 30 Days","2226","1465851605.99798"
"Total domains renewed within 24 Hours","153","1465851605.99798"
"Total domains renewed within 30 Days","2575","1465851605.99798"
"Total domains","58545","1465858806.84415"
"Total domains registered within 24 hours","93","1465858806.84415"
"Total domains registered within 30 Days","2227","1465858806.84415"
"Total domains renewed within 24 Hours","153","1465858806.84415"
"Total domains renewed within 30 Days","2574","1465858806.84415"
"Total domains","58545","1465866006.28444"
"Total domains registered within 24 hours","93","1465866006.28444"
"Total domains registered within 30 Days","2227","1465866006.28444"
"Total domains renewed within 24 Hours","154","1465866006.28444"
"Total domains renewed within 30 Days","2575","1465866006.28444"
"Total domains","58471","1465873205.67246"
"Total domains registered within 24 hours","93","1465873205.67246"
"Total domains registered within 30 Days","2226","1465873205.67246"
"Total domains renewed within 24 Hours","151","1465873205.67246"
"Total domains renewed within 30 Days","2575","1465873205.67246"
"Total domains","58471","1465880405.56396"
"Total domains registered within 24 hours","93","1465880405.56396"
"Total domains registered within 30 Days","2225","1465880405.56396"
"Total domains renewed within 24 Hours","152","1465880405.56396"
"Total domains renewed within 30 Days","2581","1465880405.56396"
"Total domains","58477","1465887605.96886"
"Total domains registered within 24 hours","89","1465887605.96886"
"Total domains registered within 30 Days","2228","1465887605.96886"
"Total domains renewed within 24 Hours","142","1465887605.96886"
"Total domains renewed within 30 Days","2598","1465887605.96886"
"Total domains","58494","1465894805.79439"
"Total domains registered within 24 hours","97","1465894805.79439"
"Total domains registered within 30 Days","2243","1465894805.79439"
"Total domains renewed within 24 Hours","129","1465894805.79439"
"Total domains renewed within 30 Days","2615","1465894805.79439"
"Total domains","58510","1465902006.10534"
"Total domains registered within 24 hours","98","1465902006.10534"
"Total domains registered within 30 Days","2257","1465902006.10534"
"Total domains renewed within 24 Hours","143","1465902006.10534"
"Total domains renewed within 30 Days","2647","1465902006.10534"
"Total domains","58530","1465909206.31555"
"Total domains registered within 24 hours","99","1465909206.31555"
"Total domains registered within 30 Days","2276","1465909206.31555"
"Total domains renewed within 24 Hours","149","1465909206.31555"
"Total domains renewed within 30 Days","2668","1465909206.31555"
"Total domains","58547","1465916405.89173"
"Total domains registered within 24 hours","93","1465916405.89173"
"Total domains registered within 30 Days","2291","1465916405.89173"
"Total domains renewed within 24 Hours","152","1465916405.89173"
"Total domains renewed within 30 Days","2694","1465916405.89173"
"Total domains","58555","1465923606.60775"
"Total domains registered within 24 hours","91","1465923606.60775"
"Total domains registered within 30 Days","2295","1465923606.60775"
"Total domains renewed within 24 Hours","159","1465923606.60775"
"Total domains renewed within 30 Days","2696","1465923606.60775"
"Total domains","58558","1465930805.56871"
"Total domains registered within 24 hours","90","1465930805.56871"
"Total domains registered within 30 Days","2294","1465930805.56871"
"Total domains renewed within 24 Hours","161","1465930805.56871"
"Total domains renewed within 30 Days","2705","1465930805.56871"
"Total domains","58558","1465938006.25411"
"Total domains registered within 24 hours","88","1465938006.25411"
"Total domains registered within 30 Days","2289","1465938006.25411"
"Total domains renewed within 24 Hours","151","1465938006.25411"
"Total domains renewed within 30 Days","2702","1465938006.25411"
"Total domains","58565","1465945206.00676"
"Total domains registered within 24 hours","94","1465945206.00676"
"Total domains registered within 30 Days","2295","1465945206.00676"
"Total domains renewed within 24 Hours","151","1465945206.00676"
"Total domains renewed within 30 Days","2702","1465945206.00676"
"Total domains","58565","1465952406.26212"
"Total domains registered within 24 hours","94","1465952406.26212"
"Total domains registered within 30 Days","2295","1465952406.26212"
"Total domains renewed within 24 Hours","150","1465952406.26212"
"Total domains renewed within 30 Days","2702","1465952406.26212"
"Total domains","58511","1465959676.29282"
"Total domains registered within 24 hours","94","1465959676.29282"
"Total domains registered within 30 Days","2295","1465959676.29282"
"Total domains renewed within 24 Hours","150","1465959676.29282"
"Total domains renewed within 30 Days","2701","1465959676.29282"
"Total domains","58512","1465966806.881"
"Total domains registered within 24 hours","95","1465966806.881"
"Total domains registered within 30 Days","2295","1465966806.881"
"Total domains renewed within 24 Hours","144","1465966806.881"
"Total domains renewed within 30 Days","2701","1465966806.881"
"Total domains","58520","1465974005.96277"
"Total domains registered within 24 hours","97","1465974005.96277"
"Total domains registered within 30 Days","2294","1465974005.96277"
"Total domains renewed within 24 Hours","136","1465974005.96277"
"Total domains renewed within 30 Days","2695","1465974005.96277"
"Total domains","58541","1465981206.03072"
"Total domains registered within 24 hours","101","1465981206.03072"
"Total domains registered within 30 Days","2294","1465981206.03072"
"Total domains renewed within 24 Hours","140","1465981206.03072"
"Total domains renewed within 30 Days","2698","1465981206.03072"
"Total domains","58565","1465988406.5689"
"Total domains registered within 24 hours","110","1465988406.5689"
"Total domains registered within 30 Days","2308","1465988406.5689"
"Total domains renewed within 24 Hours","127","1465988406.5689"
"Total domains renewed within 30 Days","2701","1465988406.5689"
"Total domains","58581","1465995630.92099"
"Total domains registered within 24 hours","106","1465995630.92099"
"Total domains registered within 30 Days","2309","1465995630.92099"
"Total domains renewed within 24 Hours","123","1465995630.92099"
"Total domains renewed within 30 Days","2709","1465995630.92099"
"Total domains","58605","1466002807.1211"
"Total domains registered within 24 hours","113","1466002807.1211"
"Total domains registered within 30 Days","2318","1466002807.1211"
"Total domains renewed within 24 Hours","119","1466002807.1211"
"Total domains renewed within 30 Days","2712","1466002807.1211"
"Total domains","58612","1466010006.6412"
"Total domains registered within 24 hours","113","1466010006.6412"
"Total domains registered within 30 Days","2316","1466010006.6412"
"Total domains renewed within 24 Hours","116","1466010006.6412"
"Total domains renewed within 30 Days","2718","1466010006.6412"
"Total domains","58620","1466017206.94929"
"Total domains registered within 24 hours","119","1466017206.94929"
"Total domains registered within 30 Days","2309","1466017206.94929"
"Total domains renewed within 24 Hours","106","1466017206.94929"
"Total domains renewed within 30 Days","2715","1466017206.94929"
"Total domains","58623","1466024406.26578"
"Total domains registered within 24 hours","122","1466024406.26578"
"Total domains registered within 30 Days","2310","1466024406.26578"
"Total domains renewed within 24 Hours","112","1466024406.26578"
"Total domains renewed within 30 Days","2717","1466024406.26578"
"Total domains","58627","1466031606.5389"
"Total domains registered within 24 hours","119","1466031606.5389"
"Total domains registered within 30 Days","2313","1466031606.5389"
"Total domains renewed within 24 Hours","117","1466031606.5389"
"Total domains renewed within 30 Days","2722","1466031606.5389"
"Total domains","58627","1466038806.55658"
"Total domains registered within 24 hours","119","1466038806.55658"
"Total domains registered within 30 Days","2312","1466038806.55658"
"Total domains renewed within 24 Hours","117","1466038806.55658"
"Total domains renewed within 30 Days","2722","1466038806.55658"
"Total domains","58595","1466046006.7096"
"Total domains registered within 24 hours","120","1466046006.7096"
"Total domains registered within 30 Days","2313","1466046006.7096"
"Total domains renewed within 24 Hours","117","1466046006.7096"
"Total domains renewed within 30 Days","2722","1466046006.7096"
"Total domains","58598","1466053206.83195"
"Total domains registered within 24 hours","122","1466053206.83195"
"Total domains registered within 30 Days","2312","1466053206.83195"
"Total domains renewed within 24 Hours","120","1466053206.83195"
"Total domains renewed within 30 Days","2724","1466053206.83195"
"Total domains","58607","1466060406.22095"
"Total domains registered within 24 hours","123","1466060406.22095"
"Total domains registered within 30 Days","2307","1466060406.22095"
"Total domains renewed within 24 Hours","117","1466060406.22095"
"Total domains renewed within 30 Days","2725","1466060406.22095"
"Total domains","58620","1466067606.58864"
"Total domains registered within 24 hours","115","1466067606.58864"
"Total domains registered within 30 Days","2303","1466067606.58864"
"Total domains renewed within 24 Hours","115","1466067606.58864"
"Total domains renewed within 30 Days","2733","1466067606.58864"
"Total domains","58640","1466074806.72643"
"Total domains registered within 24 hours","111","1466074806.72643"
"Total domains registered within 30 Days","2297","1466074806.72643"
"Total domains renewed within 24 Hours","109","1466074806.72643"
"Total domains renewed within 30 Days","2735","1466074806.72643"
"Total domains","58652","1466082006.76101"
"Total domains registered within 24 hours","107","1466082006.76101"
"Total domains registered within 30 Days","2288","1466082006.76101"
"Total domains renewed within 24 Hours","108","1466082006.76101"
"Total domains renewed within 30 Days","2741","1466082006.76101"
"Total domains","58665","1466089205.94502"
"Total domains registered within 24 hours","96","1466089205.94502"
